"# of Items","# Artikel"
"%s orders already had downloaded labels.","F&uuml;r % der Bestellungen wurde bereits ein Versandetikett heruntergeladen."
"A4","A4"
"A6","A6"
"Action","Vorgang"
"All labels have been downloaded.","Alle Versandetiketten wurden heruntergeladen."
"An error occurred while import table rates.","Beim Importieren der Tarieftabellen ist ein Fehler passiert."
"An error occurred while importing ParcelShops. Check the log for details.","Beim Importieren der ParcelShops ist ein Fehler passiert. Kontrollieren Sie den Logbestand fï¿½r weitere Informationen."
"Are you sure?","Sind Sie sicher?"
"Bill to Name",Rechnung an Name"
"CSV Uploaded (%s shops).","CSV hochgeladen (%s shops)"
"Click here to change your ParcelShop","Klicken Sie hier um Ihren DPD ParcelShop anzupassen."
"Click here to select your ParcelShop","Klicken Sie hier um Ihren DPD ParcelShop auszuw&auml;hlen."
"Close this map","Diese Karte schlie&szlig;en"
"closed","Geschlo&szlig;en"
"Country","Land"
"DPD Label","DPD Versandetikett"
"DPD Orders","DPD Auftr&auml;ge"
"DPD Return Label","DPD R&uuml;cksendeetikett"
"DPD Return Labels","DPD Rï¿½cksendeetiketten"
"DPD Type","DPD Versandart"
"Date created","Datum erstellt"
"Delete","L&ouml;schen"
"Download DPD Label","Download DPD Versandetikett"
"Download Instructions PDF","Download DPD Versandanleitung"
"Download Label PDF","Download PDF Versandetikett"
"Download all undownloaded","Download alle verf&uuml;gbaren Versandetiketten"
"Download","Download"
"Duplicate Row #%s (Country %s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").,"Duplicate Zeile #%s (Land %s, Region/Provinz ""%s"", Postleitzahl ""%s"" und Wert ""%s"")."
"Email","Email"
"Excel XML","Excel XML"
"Export CSV","Export CSV"
"File has not been imported. See the following list of errors: %s", "Datei wurde nicht importiert. Bitte sehen Sie sich die Fehlermeldungen an."
"Flat Rate","Festpreis"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Generate Label and Complete","Versandetikett erstellen und abschlie&szlig;en"
"Inline","Inline"
"Invalid %s "%s" in the Row #%s.", "Keine korrekte %s "%s" in Zeile  #%s."
"Invalid Country "%s" in the Row #%s.","Land nicht korrekt "%s" in Zeile #%s."
"Invalid ParcelShops format in the Row #%s","Kein korrektes ParcelShopformat in Zeile #%s"
"Invalid Region/State "%s" in the Row #%s.", "Keine korrekte Region/Provinz "%s" in Zeile #%s."
"Invalid Shipping Price "%s" in the Row #%s.","Keine korrekte Versandkosten "%s" in Zeile #%s."
"Invalid Table Rates File Format", "Kein korrektes Tabellenformat"
"Invalid Table Rates format in the Row #%s","Kein korrektes Tabellenformat in Zeile #%s"
"Label Downloaded","Versandetikett wurde heruntergeladen"
"Label number","Versandetikettnummer"
"Loading DPD parcelshop map based on your address...","DPD ParcelShops werden auf Basis Ihrer Adresse geladen"
"No CSV uploaded.","Keine CSV-Datei hochgeladen"
"No label generated yet - please perform the 'Generate Label and Complete' action from the overview.", "Noch kein Versandetikett erstellt - bitte w&auml;hlen Sie folgenden Vorgang  'Versandetikett erstellen und abschlie&szlig;en' aus der &uuml;bersicht"
"No records found.","Keine Daten gefunden"
"No undownloaded labels found.","Keine verf&uuml;gbaren Versandetiketten vorhanden"
"Order #","Bestellung"
"Overlay","Overlay"
"Please refresh the page after downloading to review the confirmation messages including any problems encountered. Continue?","Bitte aktualisieren Sie die Seite um die heruntergeladenen Best&auml;tigungsmeldungen inklusive der eventuellen Fehlermeldungen zu &uuml;berpr&uuml;fen. Weiter?"
"Please select a Parcelshop","Bitte w&auml;hlen Sie einen DPD ParcelShop"
"Purchased From (Store)","Gekauft bei (Shop)"
"Purchased On","Gekauft am"
"Region/State","Region/Provinz"
"Ship to Name","An diesen Namen versenden"
"Ship to this ParcelShop.","An diesen DPD ParcelShop versenden"
"Shipped with DPD generateLabelAndComplete","Versendet mit DPD Versandetikett erstellen und abschlie&szlig;en"
"Shipping Price","Versandkosten"
"Some of the selected orders are not ready to be shipped or have already been shipped, operation canceled.","Einige der ausgew&auml;hlten Bestellungen sind nicht versandbereit oder wurden k&uuml;rzlich versendet"
"Something went wrong while processing order %s, please check your error logs.","Es gab leider ein Problem bei der Bearbeitung der Bestellung %s, bitte &uuml;berpr&uuml;fen Sie Ihren Logbestand"
"Status","Status"
"Table Rates","Tarieftabellen"
"The ParcelShops for this website have been deleted.", "Die DPD ParcelShops wurden f&uuml;r diese Webseite gel&ouml;scht."
"The email with return label and instructions has been sent to %s.","Die E-mail mit dem R&uuml;cksendeetikett und der Versandanleitung wurde nach %s versendet."
"The file(s) could not be downloaded, please check your DPD logs.","Datei(en) konnten nicht heruntergeladen werden. Bitte kontrolieren Sie Ihr DPD logs."
"The order with id %s has only none dpd shipments.","Die Bestellung mit der ID %s hat keinen DPD Versand."
"The order with id %s is not ready to be shipped or has already been shipped.", "Die Bestellung mit der ID %s ist nicht versandbereit oder wurde k&uuml;rzlich versendet."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Diese Versandart ist zur Zeit nicht verf&uuml;gbar. Falls Sie dennoch diese Versandart nutzen m&ouml;chten, bitten wir Sie uns zu kontaktieren."
"Track this shipment","Paket verfolgen"
"View","Ansehen"
"Your csv closed too soon with the ZZ ending. Please refer to the manual.","Ihre CSV Datei wurde zu fr&uuml;h mit ZZ Endung geschlossen."
"Your csv does not have the following required attributes %s on row %s. Please refer to the manual.","Ihre CSV Datei verf&uuml;gt nicht &uuml;ber die ben&ouml;tigten Eigenschaften %s in Zeile %s. Bitte beachten Sie die Anleitung."
"Your csv does not have the required AA header. Please refer to the manual.","Ihre CSV Datei hat nicht die ben&ouml;tigten AA Kopfzeile. Bitte beachten Sie die Anleitung."
"Your csv does not have the required ZZ ending. Please refer to the manual.", "Ihre CSV Datei hat nicht das ben&ouml;tigte ZZ Ende. Bitte lesen Sie die Anleitung."
"%s label(s) have been generated and statuses have been changed.","Ihre Versandetiketten wurden erstellt und die Status wurden angepasst."
"Your return label and instructions file have been generated and is available under "DPD Return Labels" in this order.","Ihr R&uuml;cksendeetikett und die Anleitung wurden erstellt und sind unter DPD R&uuml;cksendeetikett in dieser Bestellung verf&uuml;gbar."
"Your selected order is not ready to be shipped or has already been shipped, operation canceled.", "Ihre ausgew&auml;hlte Bestellung ist nicht versandbereit oder wurde bereits versendet. Dieser Auftrag wurde annuliert."
"Zip/Postal Code","Postleitzahl"
"Generating a label can take up to 1 second per label, please be patient during this process. It can take up to maximum 2 minutes. Do you want to continue?"
"The maximum number of orders to process is %s. You selected %s. Please deselect some orders and try again."
"No parcelshops were found, please verify your shipping address."
