"# of Items","# items"
"%s orders already had downloaded labels.","%s van orders hebben reeds labels die gedownload werden."
"A4","A4"
"A6","A6"
"Action","Actie"
"All labels have been downloaded.","Alle labels werden gedownload."
"An error occurred while import table rates.","Er is een fout opgetreden bij het importeren van de table rates."
"An error occurred while importing ParcelShops. Check the log for details.","Er is een fout opgetreden bij het importeren van ParcelShops. Controleer het logbestand voor details."
"Are you sure?","Bent u zeker?"
"Bill to Name","Te factureren aan"
"CSV Uploaded (%s shops)","CSV opgeladen (%s shops)"
"Click here to change your ParcelShop","Klik hier om uw DPD ParcelShop aan te passen"
"Click here to select your ParcelShop","Klik hier om uw DPD ParcelShop te selecteren"
"Close this map","Sluit deze map"
"closed","Gesloten"
"Country","Land"
"DPD Label","DPD Label"
"DPD Orders","DPD Orders"
"DPD Return Label","DPD Return Label"
"DPD Return Labels","DPD Return Labels"
"DPD Type","DPD Type"
"Date created","Datum aangemaakt"
"Delete","Delete"
"Download DPD Label","Download DPD Label"
"Download Instructions PDF","Download PDF met instructies"
"Download Label PDF","Download PDF label"
"Download all undownloaded","Download alle beschikbare labels"
"Download","Download"
"Duplicate Row #%s (Country %s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate rij #%s (Land %s, Regio/Provincie ""%s"", Postcode ""%s"" en Waarde ""%s"")."
"Email","Email"
"Excel XML","Excel XML"
"Export CSV","Export CSV"
"File has not been imported. See the following list of errors: %s","File werd niet geïmporteerd. Bekijk de lijst met foutmeldingen: %s"
"Flat Rate","Vaste prijs"
"G.T. (Base)","G.T. (Basis)"
"G.T. (Purchased)","G.T. (Aangekocht)"
"Generate Label and Complete","Creëer label en sluit af"
"Inline","Inline"
"Invalid %s "%s" in the Row #%s.","Incorrecte %s "%s" in rij #%s."
"Invalid Country "%s" in the Row #%s.","Niet correct land "%s" in rij #%s"
"Invalid ParcelShops format in the Row #%s","Niet correct ParcelShop formaat in rij #%s"
"Invalid Region/State "%s" in the Row #%s.", "Niet correcte Regio/Provincie "%s" in rij #%s."
"Invalid Shipping Price "%s" in the Row #%s.", "Niet correcte Verzendkost "%s" in rij #%s."
"Invalid Table Rates File Format","Niet correcte Table Rates File formaat"
"Invalid Table Rates format in the Row #%s","Niet correcte Table Rates file formaat %s"" in rij #%s"
"Label Downloaded","Label werd gedownload"
"Label number","Label nummer"
"Loading DPD parcelshop map based on your address...","DPD ParcelShops worden geladen op basis van uw adres..."
"No CSV uploaded.","Geen CSV opgeladen"
"No label generated yet - please perform the 'Generate Label and Complete' action from the overview.","Nog geen label gecreëerd - gelieve actie 'Creëer label en sluit af' te gebruiken vanuit het overzicht"
"No records found.","Geen bestanden gevonden."
"No undownloaded labels found.","Geen beschikbare labels gevonden."
"Order #","Order nummer"
"Overlay","Overlay"
"Please refresh the page after downloading to review the confirmation messages including any problems encountered. Continue?","Gelieve de pagina opnieuw te laden om de bevestingsboodschappen en vastgestelde problemen te laten nakijken. Doorgaan?"
"Please select a Parcelshop","Gelieve een DPD ParcelShop te selecteren"
"Purchased From (Store)","Aangekocht bij (Store)"
"Purchased On","Aangekocht op"
"Region/State","Regio/Provincie"
"Ship to Name","Verzend naar Naam"
"Ship to this ParcelShop.","Verzend naar deze DPD ParcelShop"
"Shipped with DPD generateLabelAndComplete","Verzonden met DPD genereerLabelEnSluitAf"
"Shipping Price";"Verzendkost"
"Some of the selected orders are not ready to be shipped or have already been shipped, operation canceled.","Sommige van de geslecteerde orders zijn niet klaar om te verzenden of werden reeds verzonden, aanvraag geannulleerd."
"Something went wrong while processing order %s, please check your error logs.","Er ging iets mis bij het verwerken van dit order %s, gelieve uw logbestand te controleren."
"Status","Status"
"Table Rates", "Table rates"
"The ParcelShops for this website have been deleted.", "De DPD ParcelShops voor deze website werden verwijderd"
"The email with return label and instructions has been sent to %s.", "De Email met het Return label en instructies werd verstuurd naar %s."
"The file(s) could not be downloaded, please check your DPD logs.","Bestand(en) kon(den) niet worden gedownload, gelieve uw DPD logs te controleren"
"The order with id %s has only none dpd shipments.","Het order met ID %s heeft geen DPD verzending"
"The order with id %s is not ready to be shipped or has already been shipped.","Het order met ID %s is niet klaar om te verzenden of werd reeds verzonden."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.", "Deze verzendmethode is momenteel niet beschikbaar. Indien u wenst te versturen met deze methode, gelieve ons te contacteren"
"Track this shipment","Traceer dit pakket"
"View","Bekijk"
"Your csv closed too soon with the ZZ ending. Please refer to the manual.","Uw csv werd te vroeg afgesloten met het ZZ einde. Gelieve uw manual te consulteren."
"Your csv does not have the following required attributes %s on row %s.  Please refer to the manual.","Uw csv heeft niet de nodige attributen %s in rij %s. Gelieve uw handleiding te consulteren."
"Your csv does not have the required AA header. Please refer to the manual.","Uw csv heeft niet de nodige AA hoofding. Gelieve uw manual te consulteren."
"Your csv does not have the required ZZ ending. Please refer to the manual.", "Uw csv heeft niet het nodige ZZ einde. Gelieve uw manual te consulteren."
"%s label(s) have been generated and statuses have been changed.", "Uw labels werden aangemaakt and statussen werden aangepast."
"Your return label and instructions file have been generated and is available under DPD Return Labels in this order.","Uw return label en instructies werd aangemaakt en is beschikbaar onder DPD Return Labels in dit order"
"Your selected order is not ready to be shipped or has already been shipped, operation canceled.","Uw geselecteerd order is niet klaar om te verzenden of werd reeds verzonden, deze opdracht werd geannulleerd."
"Zip/Postal Code","Postcode"
"Generating a label can take up to 1 second per label, please be patient during this process. It can take up to maximum 2 minutes. Do you want to continue?","Een label aanmaken kan duren tot 1 seconde per label, gelieve geduldig te zijn gedurende dit proces. Het kan maximaal 2 minuten duren. Wilt u verder gaan?"
"The maximum number of orders to process is %s. You selected %s. Please deselect some orders and try again.","Het maximum aantal orders is %s; U selecteerde %s. Gelieve enkele orders te deselecteren en opnieuw te proberen."
"No parcelshops were found, please verify your shipping address.","Er werden geen DPD ParcelShops gevonden, gelieve uw adres te controleren."
"No data found, please fill in the required shipping data.","Geen gegevens gevonden, gelieve de vereiste verzendgegevens in te vullen."
